id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1334130761969102853,1334130761969102853,2020-12-02 10:42:15 -03,2020-12-02,10:42:15,-0300,82386446,celsorussomanno,Celso Russomanno,,VÍDEO NOVO NO CANAL!   https://t.co/Me1X70abii,pt,[],['https://youtu.be/wgokDIS_npg'],[],5,0,18,[],[],https://twitter.com/celsorussomanno/status/1334130761969102853,False,,0,,,,,,,,[],,,,
1332464123762892806,1332464123762892806,2020-11-27 20:19:37 -03,2020-11-27,20:19:37,-0300,82386446,celsorussomanno,Celso Russomanno,,"Foram muitos os pedidos.  A partir desta segunda-feira (30/11), a programação voltará ao normal. No programa Hoje em Dia já teremos episódios inéditos para vocês. Logo após, teremos nosso chat, às 12:30, no canal do Hoje em Dia (Youtube) e nas minhas redes sociais. Acompanhem!  https://t.co/aPGKguKdRh",pt,[],[],"['https://pbs.twimg.com/media/En3c5fOXEAEicXK.jpg', 'https://pbs.twimg.com/media/En3c-33XMAEdrSS.jpg']",49,11,211,[],[],https://twitter.com/celsorussomanno/status/1332464123762892806,False,,1,https://pbs.twimg.com/media/En3c5fOXEAEicXK.jpg,,,,,,,[],,,,
1332425445296517121,1332425445296517121,2020-11-27 17:45:56 -03,2020-11-27,17:45:56,-0300,82386446,celsorussomanno,Celso Russomanno,,ESTAMOS CHEGANDO!!   Algum palpite? 🚨  . . . . #CelsoRussomanno #PatrulhadoConsumidor  https://t.co/2th0ZDVKMn,pt,[],[],[],31,6,74,"['celsorussomanno', 'patrulhadoconsumidor']",[],https://twitter.com/celsorussomanno/status/1332425445296517121,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1332425420738846721/pu/img/OrmWxwDzdsbpnNiw.jpg,,,,,,,[],,,,
1331978565383057411,1331977471026221061,2020-11-26 12:10:11 -03,2020-11-26,12:10:11,-0300,82386446,celsorussomanno,Celso Russomanno,,@RECORDISTASOFC Em breve teremos novidades! 🚨,pt,[],[],[],2,1,3,[],[],https://twitter.com/celsorussomanno/status/1331978565383057411,False,,0,,,,,,,,"[{'screen_name': 'RECORDISTASOFC', 'name': 'Record TV Fãs', 'id': '1243634000800952322'}]",,,,
1331977471026221061,1331977471026221061,2020-11-26 12:05:50 -03,2020-11-26,12:05:50,-0300,82386446,celsorussomanno,Celso Russomanno,,Hoje é dia de #TBT. E dia de #TBT é dia de matar a saudade!  Deixe nos comentários o que mais tem saudade do Patrulha do Consumidor.  . . . #CelsoRussomanno #PatrulhadoConsumidor #TBT  https://t.co/CQuOGGcQL2,pt,[],[],"['https://pbs.twimg.com/media/Enwic13XcAUgKXT.jpg', 'https://pbs.twimg.com/media/Enwic1xXUAEMzGY.jpg', 'https://pbs.twimg.com/media/Enwic1qXYA0njyl.jpg']",29,4,104,"['tbt', 'tbt', 'celsorussomanno', 'patrulhadoconsumidor', 'tbt']",[],https://twitter.com/celsorussomanno/status/1331977471026221061,False,,1,https://pbs.twimg.com/media/Enwic13XcAUgKXT.jpg,,,,,,,[],,,,
1331669547993214980,1331669547993214980,2020-11-25 15:42:16 -03,2020-11-25,15:42:16,-0300,82386446,celsorussomanno,Celso Russomanno,,CELSO RUSSOMANNO É OU NÃO É CONTRA O UBER?  | AFIRMAÇÕES FALSAS DURANTE A CAMPANHA DE RUSSOMANNO #3  Conheça a verdade sobre as afirmações falsas sofridas por Russomanno durante a campanha eleitoral para prefeito em 2020.   https://t.co/iwkUXVOD30 . #russomanno #combateasfakenews,pt,[],['https://youtu.be/K60Tvj86Nfg'],[],10,5,53,"['russomanno', 'combateasfakenews']",[],https://twitter.com/celsorussomanno/status/1331669547993214980,False,,0,,,,,,,,[],,,,
1331561022591733764,1331561022591733764,2020-11-25 08:31:01 -03,2020-11-25,08:31:01,-0300,82386446,celsorussomanno,Celso Russomanno,,"Se tem uma coisa que 2020 nos ensinou foi sobre a importância do cuidado com o próximo. Hoje é dia de celebrar aqueles que doam um pouco de si em prol do próximo!     Seja um doador, informa-se em um hemocentro para doar em segurança.  #doesangue #celsorussomanno  https://t.co/iGyTBcqxsh",pt,[],[],[],8,4,81,"['doesangue', 'celsorussomanno']",[],https://twitter.com/celsorussomanno/status/1331561022591733764,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1331560995668496386/pu/img/mS6KrU9YXwuTuRUq.jpg,,,,,,,[],,,,
1331243445822877697,1331243445822877697,2020-11-24 11:29:05 -03,2020-11-24,11:29:05,-0300,82386446,celsorussomanno,Celso Russomanno,,TENHO MEDO DE DEBATE? | AFIRMAÇÕES FALSAS DURANTE A CAMPANHA DE RUSSOMANNO  Link:  https://t.co/3tk1etABAj  📢📢📢  Minhas Redes Sociais: - Facebook:  https://t.co/RuZCabyjhj - Instagram: @celsorussomanno  📍  INSCREVA-SE :  https://t.co/P00Bf2w5m0  . #Russomanno #combateasfakenews,pt,"[{'screen_name': 'celsorussomanno', 'name': 'celso russomanno', 'id': '82386446'}]","['https://youtu.be/auAJIZ0aKn4', 'https://bit.ly/2RAMaFc', 'https://bityli.com/uq6oV']",[],20,3,44,"['russomanno', 'combateasfakenews']",[],https://twitter.com/celsorussomanno/status/1331243445822877697,False,,0,,,,,,,,[],,,,
1330651695085457417,1330635252574908417,2020-11-22 20:17:41 -03,2020-11-22,20:17:41,-0300,82386446,celsorussomanno,Celso Russomanno,,@CurioniGabriel Deve continuar tentando. Kkkkk,pt,[],[],[],1,0,5,[],[],https://twitter.com/celsorussomanno/status/1330651695085457417,False,,0,,,,,,,,"[{'screen_name': 'CurioniGabriel', 'name': 'g@br!3l', 'id': '989641469039390720'}]",,,,
1330651422829015041,1327800991564111872,2020-11-22 20:16:36 -03,2020-11-22,20:16:36,-0300,82386446,celsorussomanno,Celso Russomanno,,@Lcio41190418 Me passe o seu telefone para entrar em contato?,pt,[],[],[],4,0,0,[],[],https://twitter.com/celsorussomanno/status/1330651422829015041,False,,0,,,,,,,,"[{'screen_name': 'Lcio41190418', 'name': 'Lúcio', 'id': '1330646790039810049'}]",,,,
