,Player,Teams,Maps,K-D Diff,K/D,Rating2.0,map_name
0,jkaem,100 Thieves,1,14,2.56,2.06,de_cache
1,nitr0,Liquid,1,3,1.2,1.49,de_cache
2,jks,100 Thieves,1,7,1.88,1.39,de_cache
3,AZR,100 Thieves,1,2,1.18,1.37,de_cache
4,Liazz,100 Thieves,1,2,1.22,1.18,de_cache
5,Gratisfaction,100 Thieves,1,1,1.1,1.09,de_cache
6,EliGE,Liquid,1,-7,0.5,0.66,de_cache
7,NAF,Liquid,1,-5,0.62,0.64,de_cache
8,Stewie2K,Liquid,1,-7,0.56,0.58,de_cache
9,Twistzz,Liquid,1,-11,0.31,0.49,de_cache
0,s1mple,Natus Vincere,33,227,1.45,1.34,de_dust2
1,ZywOo,Vitality,33,123,1.23,1.24,de_dust2
2,NiKo,FaZe,30,117,1.23,1.23,de_dust2
3,device,Astralis,23,92,1.27,1.21,de_dust2
4,syrsoN,BIG,24,56,1.14,1.18,de_dust2
5,dupreeh,Astralis,23,62,1.17,1.15,de_dust2
6,XANTARES,BIG,24,86,1.22,1.15,de_dust2
7,shox,Vitality,33,101,1.19,1.13,de_dust2
8,tabseN,BIG,24,30,1.07,1.13,de_dust2
9,coldzera,FaZe,30,54,1.11,1.1,de_dust2
10,electronic,Natus Vincere,33,14,1.02,1.1,de_dust2
11,ropz,mousesports,26,54,1.13,1.1,de_dust2
12,valde,OG,25,41,1.1,1.09,de_dust2
13,mantuu,OG,25,71,1.18,1.09,de_dust2
14,huNter-,G2,29,24,1.05,1.09,de_dust2
15,nexa,G2,29,12,1.02,1.08,de_dust2
16,Magisk,Astralis,23,21,1.06,1.07,de_dust2
17,apEX,Vitality,33,-23,0.96,1.07,de_dust2
18,frozen,mousesports,26,29,1.07,1.06,de_dust2
19,RpK,Vitality,33,32,1.06,1.06,de_dust2
20,rain,FaZe,30,3,1.01,1.06,de_dust2
21,ISSAA,OG,25,21,1.05,1.05,de_dust2
22,tiziaN,BIG,24,-3,0.99,1.05,de_dust2
23,kennyS,G2,29,23,1.05,1.05,de_dust2
24,broky,FaZe,30,24,1.05,1.04,de_dust2
25,AmaNEk,G2,29,-16,0.97,1.0,de_dust2
26,Perfecto,Natus Vincere,33,-19,0.96,1.0,de_dust2
27,NBK-,OG,25,-26,0.94,1.0,de_dust2
28,Boombl4,Natus Vincere,33,-43,0.93,1.0,de_dust2
29,k1to,BIG,24,-33,0.92,0.99,de_dust2
30,misutaaa,Vitality,31,-33,0.94,0.98,de_dust2
31,Aleksib,OG,25,-64,0.86,0.98,de_dust2
32,JaCkz,G2,29,-63,0.88,0.97,de_dust2
33,flamie,Natus Vincere,33,-48,0.91,0.95,de_dust2
34,chrisJ,mousesports,26,-70,0.84,0.88,de_dust2
35,karrigan,mousesports,26,-164,0.67,0.79,de_dust2
0,ZywOo,Vitality,26,151,1.35,1.32,de_mirage
1,syrsoN,BIG,27,127,1.26,1.2,de_mirage
2,NiKo,FaZe,28,69,1.12,1.19,de_mirage
3,blameF,Complexity,24,88,1.23,1.18,de_mirage
4,k0nfig,Complexity,24,90,1.21,1.17,de_mirage
5,cadiaN,Heroic,21,75,1.23,1.16,de_mirage
6,stavn,Heroic,21,61,1.18,1.16,de_mirage
7,EliGE,Liquid,22,28,1.06,1.16,de_mirage
8,valde,OG,29,93,1.19,1.14,de_mirage
9,broky,FaZe,28,102,1.22,1.13,de_mirage
10,mantuu,OG,29,91,1.19,1.12,de_mirage
11,NAF,Liquid,22,51,1.14,1.1,de_mirage
12,rain,FaZe,28,20,1.04,1.1,de_mirage
13,XANTARES,BIG,27,31,1.06,1.09,de_mirage
14,Twistzz,Liquid,22,27,1.07,1.09,de_mirage
15,tabseN,BIG,27,4,1.01,1.07,de_mirage
16,ISSAA,OG,29,16,1.03,1.05,de_mirage
17,Brollan,fnatic,22,-20,0.95,1.04,de_mirage
18,poizon,Complexity,24,3,1.01,1.04,de_mirage
19,oBo,Complexity,22,3,1.01,1.03,de_mirage
20,nawwk,NiP,23,15,1.04,1.03,de_mirage
21,Plopski,NiP,24,21,1.05,1.03,de_mirage
22,Stewie2K,Liquid,22,-21,0.95,1.03,de_mirage
23,KRIMZ,fnatic,22,-2,0.99,1.02,de_mirage
24,Aleksib,OG,29,-47,0.91,1.02,de_mirage
25,REZ,NiP,24,-51,0.89,1.01,de_mirage
26,shox,Vitality,26,8,1.02,1.0,de_mirage
27,coldzera,FaZe,28,3,1.01,1.0,de_mirage
28,NBK-,OG,29,-48,0.91,0.98,de_mirage
29,k1to,BIG,27,-60,0.89,0.97,de_mirage
30,apEX,Vitality,26,-64,0.87,0.96,de_mirage
31,twist,NiP,24,-34,0.92,0.95,de_mirage
32,JW,fnatic,22,-45,0.89,0.95,de_mirage
33,b0RUP,Heroic,21,-40,0.89,0.93,de_mirage
34,tiziaN,BIG,27,-62,0.88,0.93,de_mirage
35,RUSH,Complexity,24,-65,0.85,0.93,de_mirage
36,flusha,fnatic,22,-56,0.86,0.92,de_mirage
37,RpK,Vitality,26,-71,0.85,0.92,de_mirage
38,misutaaa,Vitality,24,-65,0.85,0.91,de_mirage
39,Golden,fnatic,22,-107,0.73,0.82,de_mirage
0,ZywOo,Vitality,28,181,1.4,1.36,de_inferno
1,KSCERATO,FURIA,28,99,1.21,1.18,de_inferno
2,Ethan,Evil Geniuses,30,16,1.03,1.16,de_inferno
3,valde,OG,31,58,1.11,1.15,de_inferno
4,HEN1,FURIA,28,81,1.19,1.15,de_inferno
5,yuurih,FURIA,28,62,1.13,1.11,de_inferno
6,Brehze,Evil Geniuses,30,72,1.14,1.11,de_inferno
7,Twistzz,Liquid,23,71,1.19,1.11,de_inferno
8,KRIMZ,fnatic,36,70,1.11,1.1,de_inferno
9,mantuu,OG,31,68,1.14,1.09,de_inferno
10,CeRq,Evil Geniuses,30,52,1.11,1.08,de_inferno
11,EliGE,Liquid,23,19,1.04,1.08,de_inferno
12,flusha,fnatic,36,-19,0.97,1.08,de_inferno
13,XANTARES,BIG,25,33,1.07,1.07,de_inferno
14,JW,fnatic,36,29,1.04,1.06,de_inferno
15,Brollan,fnatic,36,63,1.1,1.06,de_inferno
16,ISSAA,OG,31,37,1.07,1.06,de_inferno
17,stanislaw,Evil Geniuses,30,-3,0.99,1.05,de_inferno
18,tarik,Evil Geniuses,30,-2,1.0,1.05,de_inferno
19,tabseN,BIG,25,-8,0.98,1.03,de_inferno
20,syrsoN,BIG,25,12,1.03,1.02,de_inferno
21,NBK-,OG,31,-26,0.95,1.02,de_inferno
22,NAF,Liquid,23,-4,0.99,1.01,de_inferno
23,tiziaN,BIG,25,-17,0.96,1.01,de_inferno
24,VINI,FURIA,28,-11,0.98,0.99,de_inferno
25,arT,FURIA,28,-90,0.84,0.99,de_inferno
26,misutaaa,Vitality,24,-20,0.95,0.98,de_inferno
27,Stewie2K,Liquid,23,-89,0.81,0.97,de_inferno
28,Golden,fnatic,36,-89,0.88,0.97,de_inferno
29,RpK,Vitality,28,-67,0.87,0.97,de_inferno
30,k1to,BIG,25,-56,0.88,0.96,de_inferno
31,apEX,Vitality,28,-86,0.83,0.94,de_inferno
32,shox,Vitality,28,-21,0.95,0.93,de_inferno
33,Aleksib,OG,31,-137,0.76,0.92,de_inferno
0,s1mple,Natus Vincere,32,200,1.38,1.26,de_nuke
1,ropz,mousesports,28,130,1.26,1.23,de_nuke
2,device,Astralis,32,115,1.22,1.21,de_nuke
3,NiKo,FaZe,36,81,1.12,1.21,de_nuke
4,ZywOo,Vitality,30,111,1.22,1.19,de_nuke
5,syrsoN,BIG,27,102,1.23,1.17,de_nuke
6,stavn,Heroic,28,49,1.09,1.17,de_nuke
7,CeRq,Evil Geniuses,27,54,1.11,1.14,de_nuke
8,tabseN,BIG,27,23,1.05,1.12,de_nuke
